Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
2904,27,1,3,36,3,2,3,4,1,3,1,7,0,5,1,1,2,22984
4732,32,0,3,27,2,2,4,2,0,3,1,2,0,5,1,1,1,21469
3961,38,1,1,26,2,2,4,4,0,4,1,6,0,4,0,2,1,21700
4035,34,0,3,29,3,2,4,4,1,4,1,2,0,1,0,1,2,24824
962,51,1,2,11,2,2,2,3,4,4,1,2,1,3,1,1,0,29026
553,40,1,1,8,3,1,2,4,0,3,2,1,1,3,1,1,1,17342
1845,49,1,1,13,2,2,2,4,3,3,3,1,0,1,1,0,3,25965
3765,48,1,1,16,2,1,4,4,0,3,2,6,0,3,1,1,1,20783
1724,29,1,3,26,3,2,2,3,1,3,1,3,0,1,1,0,2,21931
4384,25,0,3,31,3,2,3,4,0,3,1,2,0,4,1,2,1,21078
2340,35,1,3,23,2,2,3,3,1,5,1,4,1,3,0,2,2,23966
4257,30,1,3,17,3,1,3,5,1,4,1,3,1,5,1,1,2,26946
1662,35,1,1,29,2,2,2,4,1,3,1,4,1,4,1,0,2,20916
1847,36,1,1,8,2,1,3,3,0,3,1,5,0,5,1,0,1,17543
1126,50,1,3,5,3,2,2,3,2,3,1,5,1,5,0,1,4,34331
4689,44,1,3,32,3,2,4,5,3,3,1,7,0,4,1,2,3,29476
811,38,1,3,8,3,2,2,3,3,4,3,1,0,4,1,0,3,22351
3624,37,1,1,14,2,2,4,4,0,4,2,4,0,1,0,3,1,20691
2754,32,1,2,9,2,2,4,5,1,5,0,5,0,3,0,2,2,25088
2890,42,0,3,17,2,2,3,4,1,3,3,2,0,2,0,2,2,24908
523,50,1,1,34,3,2,3,2,0,3,0,2,1,2,1,2,1,18221
4393,25,0,1,14,2,1,3,4,0,3,1,3,1,4,0,1,1,21564
853,19,1,1,15,2,2,2,3,0,5,2,2,0,3,0,0,1,17552
4598,41,1,3,17,3,2,4,5,3,4,1,4,0,4,0,1,3,28383
2909,47,0,1,25,3,1,3,4,3,3,0,7,0,3,1,1,3,29205
3123,32,0,3,27,3,1,3,4,1,3,0,3,0,2,1,1,2,25610
750,44,1,3,34,3,1,2,1,4,3,0,4,1,2,1,1,0,28320
2983,51,1,3,15,3,2,3,4,0,4,0,2,0,2,1,1,1,22553
2325,37,1,1,7,2,1,2,4,1,3,1,2,0,1,0,0,2,21474
3552,36,1,1,7,3,2,4,5,0,5,2,3,0,1,0,3,1,21128
2780,30,1,1,15,2,2,4,6,0,5,0,3,1,3,1,2,1,20797
4586,43,1,3,21,3,0,4,5,1,3,3,2,0,3,1,1,2,24922
4234,28,1,3,9,2,2,4,4,1,3,3,3,1,4,0,2,2,23156
4176,33,1,1,9,1,2,3,5,1,5,2,6,0,4,0,2,2,20854
276,35,1,1,28,2,1,3,2,3,4,1,1,0,5,1,1,3,26996
1589,43,0,3,32,2,2,3,3,4,3,1,2,1,1,1,0,0,31959
3240,26,1,1,11,1,2,3,4,0,3,0,3,1,3,1,1,1,22369
4846,30,0,1,9,3,2,3,5,0,5,3,2,0,4,1,2,1,22017
3813,29,1,3,20,3,0,3,4,1,3,3,5,1,5,1,2,2,28532
2802,37,0,3,7,3,0,3,4,1,3,3,6,0,2,1,2,2,25331
4007,47,0,1,7,3,2,3,5,3,5,1,4,1,1,1,2,3,29351
2633,52,1,1,10,3,1,4,4,4,4,2,5,0,5,0,2,0,32412
4090,34,1,1,9,2,2,3,4,0,3,2,2,0,3,1,1,1,21178
4058,33,0,3,16,3,2,3,6,1,3,1,2,0,1,0,2,2,23346
4885,52,1,3,17,2,1,4,4,3,4,1,7,0,1,1,3,3,31820
68,35,0,1,6,3,2,3,3,0,5,0,5,0,2,0,1,1,17194
1888,26,1,1,29,2,1,2,3,0,3,1,2,0,3,0,0,1,17886
2761,53,1,1,15,3,2,3,5,1,4,0,4,0,2,1,2,2,23619
4379,47,0,1,25,3,1,3,4,3,3,1,7,0,3,0,2,3,29205
3461,28,1,1,18,2,2,4,4,0,5,0,2,0,5,1,3,1,20777
1363,33,1,3,16,3,2,2,3,1,3,2,2,0,1,0,0,2,20487
2149,31,0,3,26,3,1,2,3,1,3,1,2,0,1,1,1,2,21932
4877,39,0,1,16,2,2,4,4,1,5,1,6,0,3,0,3,2,25571
2622,47,1,3,7,3,1,4,4,3,5,1,3,0,2,1,2,3,29131
1973,34,1,1,6,2,2,2,3,0,3,1,2,0,3,1,1,1,17691
842,28,1,1,18,2,1,3,3,0,3,0,2,1,4,1,0,1,17515
2517,33,1,1,7,2,2,4,4,1,4,0,3,0,3,0,1,2,24898
2721,39,1,3,14,3,1,3,3,1,5,1,3,1,3,0,1,2,24283
1033,31,0,1,6,2,1,3,1,3,4,3,2,0,3,1,2,3,22446
2781,30,1,1,16,2,2,2,5,0,3,3,2,0,2,1,1,1,22661
311,45,0,1,13,2,2,3,3,3,5,1,2,0,2,1,2,3,20210
2843,32,1,1,7,2,2,4,5,0,5,0,3,0,4,0,1,1,20896
1726,42,1,1,8,3,1,2,4,0,5,1,1,1,4,1,1,1,17593
4693,52,1,1,11,2,2,3,4,0,3,1,2,1,1,0,1,1,21139
2044,34,1,1,6,2,1,3,1,0,3,2,3,0,1,1,1,1,18280
2560,35,1,1,12,3,1,3,5,3,5,2,4,0,2,0,1,3,30309
468,52,1,1,12,1,2,3,3,1,5,1,4,1,4,1,2,2,20577
3506,45,0,1,9,3,2,3,4,3,3,2,7,1,1,0,2,3,28887
4078,28,0,1,10,3,2,4,5,0,3,1,3,1,1,0,3,1,21244
547,42,0,1,25,3,2,2,2,0,3,1,7,1,3,1,1,1,17759
4574,59,0,1,9,2,2,3,5,0,3,1,2,1,1,1,1,1,21058
4183,37,1,1,13,2,2,3,4,0,3,1,2,0,5,1,2,1,21888
4692,47,1,1,15,2,1,4,5,1,5,1,2,1,1,1,3,2,23293
2389,59,0,1,20,2,0,2,3,3,3,3,1,1,5,1,0,3,25512
3370,44,1,3,11,3,1,3,5,3,3,2,5,0,3,1,1,3,28909
915,21,0,1,16,2,1,2,4,0,3,2,2,0,4,1,0,1,17625
2132,20,1,3,8,3,1,2,4,0,3,2,2,0,4,1,0,1,17044
1195,49,1,1,6,2,2,2,3,4,3,2,5,0,3,1,0,0,30379
883,33,1,1,15,3,2,2,3,0,3,0,1,0,2,1,0,1,17781
4559,30,1,3,7,3,1,3,5,0,3,1,8,1,1,1,2,1,21478
4089,57,1,1,15,2,1,4,4,0,5,1,6,1,4,1,2,1,22935
3040,36,1,1,7,2,1,3,2,0,3,2,5,0,3,0,1,1,21184
4515,41,0,1,23,3,2,3,5,1,3,3,8,0,5,0,1,2,23772
2320,32,0,3,8,2,1,3,3,0,5,1,2,0,3,1,0,1,17827
1753,55,1,1,26,1,2,2,3,1,3,1,4,1,1,0,0,2,20415
3157,46,1,1,7,3,1,4,4,0,3,1,5,0,5,0,2,1,20948
3,33,0,1,9,2,1,2,3,0,3,0,2,1,5,1,1,1,17909
4691,22,1,1,17,2,1,3,5,0,5,2,3,0,3,0,2,1,20094
1189,33,1,3,8,3,2,3,3,1,3,1,2,0,3,1,1,2,20505
1733,46,1,3,8,1,1,3,5,4,4,1,4,1,5,1,0,0,31872
4177,47,1,3,9,1,1,4,6,4,4,1,5,1,5,1,1,0,35550
952,31,0,3,6,2,1,2,3,0,4,2,2,1,5,1,1,1,17302
1669,38,1,1,35,1,2,2,3,1,3,1,4,0,1,0,0,2,21261
3465,26,1,3,16,2,2,4,5,0,5,0,5,0,1,1,1,1,23078
1476,59,1,1,9,3,1,2,1,0,5,1,5,1,1,0,1,1,17670
2753,32,1,1,12,1,2,3,4,0,3,0,2,1,4,0,2,1,23499
2465,37,1,3,16,2,2,3,5,1,5,3,2,0,2,0,1,2,22085
263,46,1,3,8,1,1,3,5,4,4,0,4,1,5,1,2,0,31872
4708,35,0,1,10,2,2,3,4,1,3,3,2,0,1,1,1,2,26434
3606,36,1,3,17,3,2,3,5,3,5,1,2,0,5,1,2,3,28984
729,35,1,1,31,3,1,2,3,3,3,1,2,1,3,1,1,3,25388
1492,34,1,1,13,2,0,2,3,3,4,3,1,0,5,0,0,3,26994
4202,27,1,1,23,3,2,3,4,0,4,1,4,1,1,1,1,1,21051
1712,41,1,1,25,2,2,2,3,1,5,1,3,0,1,0,0,2,18072
1980,54,1,2,25,3,2,2,3,3,4,1,3,0,3,1,1,3,25725
1054,49,1,1,13,2,2,2,3,3,4,1,4,0,4,0,1,3,25466
2508,37,1,1,15,1,1,3,4,3,3,1,3,0,4,1,2,3,28774
1622,53,1,3,12,3,2,2,3,1,3,1,3,1,5,0,1,2,17306
60,32,1,1,6,3,2,2,3,1,3,0,2,1,4,1,0,2,21162
2054,42,0,1,14,2,2,3,3,2,3,1,2,0,5,1,1,4,33430
3292,36,0,1,11,2,2,3,5,0,3,0,3,0,2,1,1,1,21054
4289,50,1,1,14,2,2,3,5,3,3,2,2,0,1,1,1,3,29643
2008,41,1,2,6,2,2,2,4,2,3,1,2,0,1,1,1,4,34189
4065,36,1,3,7,3,2,4,4,3,4,1,3,0,4,0,1,3,25973
3747,48,1,1,11,2,1,4,5,3,4,1,2,1,4,1,3,3,29011
4788,31,1,1,14,2,2,3,4,1,3,1,3,0,5,1,2,2,22169
823,29,0,1,16,2,1,3,3,0,4,1,1,0,5,1,0,1,18291
2036,47,0,3,33,2,1,3,1,1,3,3,5,1,4,0,1,2,21397
4166,30,1,1,22,2,2,3,4,0,3,2,3,0,3,1,2,1,21018
4248,46,1,1,15,2,2,4,4,1,3,1,2,0,3,1,1,2,22375
4746,38,1,1,32,3,1,3,5,1,3,1,2,0,3,1,1,2,24409
2662,46,0,3,13,3,0,3,5,3,3,3,8,0,4,1,1,3,27543
540,28,1,1,6,2,1,3,5,0,4,2,1,1,2,1,0,1,17216
2639,38,1,1,28,2,2,4,3,0,5,0,3,1,3,0,3,1,22242
4029,38,1,3,10,2,2,3,4,3,3,3,4,0,3,0,2,3,26106
2163,36,1,3,9,2,2,2,4,3,3,1,2,1,1,1,0,3,25325
2777,44,1,1,14,2,1,3,4,3,5,0,2,0,5,1,1,3,28663
1839,31,1,1,15,2,2,2,4,0,4,2,1,1,3,1,0,1,17657
4154,40,1,1,7,3,1,4,4,0,3,1,2,0,3,1,1,1,20910
3221,22,1,1,17,2,1,3,5,0,5,2,3,0,3,1,1,1,20094
921,28,0,1,6,3,2,2,3,0,3,2,1,1,4,0,0,1,17154
3862,39,0,1,13,2,2,4,5,1,3,1,4,0,4,1,2,2,23999
4191,39,1,3,14,3,1,3,2,1,5,1,3,1,3,1,2,2,24283
4561,36,1,1,32,1,2,4,5,3,4,1,5,0,3,1,2,3,29581
1049,30,1,3,22,2,2,3,3,1,3,0,1,0,3,0,2,2,20301
4697,42,1,1,14,1,1,3,2,0,3,1,3,0,3,0,1,1,22054
2232,26,0,1,8,2,2,2,3,0,5,1,7,1,5,0,0,1,17042
2201,20,1,1,17,3,1,3,4,0,5,2,2,1,3,1,2,1,17600
3147,39,0,3,17,1,0,3,4,1,3,3,3,1,3,0,2,2,24344
2378,33,1,3,31,3,2,2,4,3,4,3,3,1,5,1,0,3,23380
2658,31,1,1,10,1,1,3,4,0,5,3,7,1,4,1,2,1,21335
3276,38,1,1,32,3,1,3,5,1,3,1,2,0,3,0,2,2,24409
3319,45,1,1,36,2,2,3,4,1,3,3,3,0,5,1,2,2,23219
2635,28,1,1,16,3,1,3,4,0,4,2,3,0,3,1,1,1,20957
3448,27,1,1,14,2,2,4,2,0,5,3,2,0,1,1,1,1,22256
4462,44,0,3,22,2,2,3,5,1,3,1,5,0,5,1,1,2,25482
2153,25,1,3,25,3,2,2,4,0,4,1,2,1,1,0,1,1,17413
1500,33,1,1,8,3,2,3,3,0,3,2,5,0,3,0,2,1,17496
791,35,1,3,10,1,2,2,3,3,5,3,1,1,4,1,1,3,24582
4282,41,1,3,29,3,2,4,5,1,3,1,4,1,3,1,1,2,25058
1224,26,1,1,23,3,2,3,5,0,3,1,2,0,3,0,2,1,17305
3049,39,0,1,19,2,2,3,5,1,5,1,4,0,5,1,1,2,24966
2200,30,1,1,14,2,1,3,1,3,5,1,1,1,1,0,2,3,26416
2987,45,0,1,31,3,2,3,6,0,3,3,4,0,3,0,2,1,22386
971,51,1,1,17,1,0,2,4,4,4,3,4,0,1,0,1,0,28142
1576,50,0,1,6,2,1,3,3,2,4,1,4,1,1,0,2,4,33172
1212,34,1,1,25,2,1,2,4,0,3,1,2,0,4,1,1,1,17929
554,27,1,1,13,3,1,2,4,1,5,3,1,0,3,1,0,2,21811
1835,46,0,1,13,3,1,1,3,1,3,1,3,0,5,1,0,2,20258
205,29,1,3,33,3,1,2,3,3,3,0,2,0,3,1,1,3,22639
3175,21,1,1,18,3,1,4,5,0,5,3,3,1,3,0,2,1,21278
692,32,1,1,9,3,1,3,3,1,5,0,2,0,2,1,1,2,21725
1928,40,0,3,34,2,2,2,5,3,5,1,4,0,5,0,1,3,25932
3107,22,1,1,25,2,1,4,4,0,3,3,3,0,3,1,2,1,21371
867,50,0,1,8,3,1,1,3,4,5,0,3,0,3,1,0,0,32856
3783,23,1,1,14,2,2,4,4,0,4,2,3,1,3,1,1,1,21150
4720,53,1,1,6,2,2,3,4,3,4,2,2,0,3,1,2,3,29123
2198,54,1,1,23,1,1,2,3,3,3,1,1,0,5,0,0,3,25739
4105,28,1,1,16,3,1,5,4,0,4,2,3,0,3,0,2,1,20957
2442,18,1,3,15,3,2,2,3,0,3,2,2,0,5,0,1,1,16611
1465,36,0,1,29,3,2,2,1,1,3,1,5,0,3,0,0,2,17571
615,27,0,1,9,3,2,2,3,0,3,0,2,0,2,1,0,1,16706
2952,36,1,1,13,2,2,3,6,1,3,3,3,0,5,1,1,2,25324
2280,46,1,3,9,3,2,2,3,4,3,1,4,0,1,1,0,0,32465
4612,36,1,3,25,3,1,3,4,1,3,1,3,0,4,1,2,2,23279
1257,31,1,3,22,3,2,3,3,3,3,1,3,0,5,1,0,3,23161
2078,55,1,3,8,3,2,2,3,1,3,2,5,0,1,1,0,2,20160
2554,52,0,1,7,3,0,2,5,3,5,3,5,0,2,1,1,3,26162
2547,35,1,1,13,2,1,3,4,1,3,3,3,0,3,1,1,2,23487
3854,41,1,3,9,3,1,4,4,1,4,1,5,0,3,1,2,2,24355
979,34,1,1,35,3,2,2,3,1,3,0,5,0,3,0,0,2,20429
3428,29,1,3,33,2,2,3,5,1,5,0,3,0,4,1,1,2,23402
3138,34,1,1,7,2,0,3,5,1,3,3,2,0,4,0,1,2,25627
951,41,0,3,16,3,2,2,5,1,4,2,2,0,1,1,0,2,21151
4871,41,1,3,23,3,2,4,4,3,3,1,4,0,5,0,2,3,22222
290,49,0,1,16,2,1,2,3,2,5,2,1,1,3,0,0,4,33665
1040,40,0,1,14,3,2,2,4,3,4,1,3,0,1,1,1,3,28757
1104,29,1,1,15,2,2,3,1,0,3,1,7,0,5,1,0,1,17451
2402,29,0,1,8,3,2,2,4,0,5,2,1,0,4,1,1,1,18339
4674,54,0,3,9,3,1,3,5,3,4,1,4,0,1,1,1,3,26203
2830,38,1,1,21,2,1,4,4,0,5,1,3,0,4,1,1,1,21712
2546,21,0,1,13,2,1,4,5,0,3,3,3,1,2,1,2,1,21604
4493,35,1,1,9,3,1,3,5,0,5,3,3,0,1,1,1,1,23059
3451,30,0,1,21,2,0,3,4,3,3,3,2,1,5,1,1,3,26231
3750,32,0,3,14,3,1,4,4,3,5,1,4,0,1,1,3,3,28315
1703,50,1,3,6,3,1,3,3,2,3,1,4,0,1,1,0,4,34517
416,38,0,1,8,2,2,2,3,0,3,0,2,1,5,1,1,1,16702
3493,31,1,3,23,2,2,4,4,1,3,0,2,0,3,0,3,2,23979
1633,57,1,1,30,2,2,2,1,3,3,1,4,1,4,1,0,3,24439
2381,25,1,1,9,2,2,2,3,0,5,1,5,0,5,1,0,1,16118
909,19,1,1,31,2,1,2,1,0,3,2,2,1,5,1,0,1,17994
2510,37,0,1,18,2,2,4,5,1,4,3,3,0,4,1,2,2,25177
1967,44,1,1,9,2,2,2,3,2,3,1,5,1,1,0,1,4,34513
3119,32,1,3,14,2,2,3,5,0,3,0,5,0,4,1,2,1,21007
4477,26,1,3,33,3,0,3,4,1,3,3,3,0,4,0,1,2,24858
3796,45,1,1,7,2,2,4,2,1,5,1,4,0,3,1,3,2,23711
2760,50,1,1,7,1,1,3,5,4,3,2,2,1,3,1,1,0,32642
1630,22,1,1,25,3,2,3,3,0,3,1,2,0,1,1,0,1,17323
2296,38,1,2,6,2,2,2,1,0,3,1,2,0,4,1,0,1,17844
1219,29,1,1,15,3,1,2,3,0,3,1,1,0,5,1,1,1,17974
3497,58,1,1,7,2,2,4,2,1,3,0,2,0,3,1,3,2,23578
4209,43,0,3,33,3,1,4,4,4,4,1,7,0,3,1,2,0,32203
4377,27,1,1,31,1,2,4,6,0,3,2,3,1,3,0,2,1,21018
2488,31,0,1,7,3,1,3,4,1,3,3,3,0,3,1,1,2,22689
3757,30,1,2,20,2,2,3,5,0,5,1,6,1,5,1,2,1,21013
3534,30,1,1,15,2,1,3,6,1,5,1,5,0,1,0,1,2,28393
3135,41,0,1,16,3,2,3,4,0,4,1,2,1,4,0,2,1,22295
4349,34,1,1,22,3,2,3,4,3,3,1,2,1,5,1,1,3,32288
3698,50,1,3,18,3,1,4,4,1,3,3,5,0,4,0,2,2,23185
2636,36,1,1,30,2,2,3,5,1,3,0,5,1,4,1,2,2,24594
2445,50,0,1,15,2,2,4,5,1,4,0,3,0,3,1,3,2,23808
3586,46,1,1,12,3,0,3,6,1,5,3,3,1,3,1,1,2,24447
4485,27,0,1,7,2,1,4,6,0,3,1,5,0,4,1,1,1,23042
4238,31,1,1,35,3,1,4,4,1,3,1,3,0,3,1,3,2,24453
776,20,0,3,15,3,1,2,3,0,3,2,2,1,4,0,0,1,17323
3746,36,1,1,30,3,2,4,6,0,3,1,2,0,1,1,1,1,21383
3875,33,1,3,7,3,1,3,4,3,3,1,3,0,5,1,1,3,29100
4081,31,1,3,12,2,1,3,4,3,3,1,4,0,4,1,2,3,28097
4514,33,1,1,11,2,1,4,5,1,3,1,3,0,4,1,2,2,24840
831,31,0,1,21,3,2,3,3,0,3,0,2,0,4,1,2,1,17610
4096,42,1,3,27,3,1,4,4,0,4,3,3,1,4,0,2,1,21818
272,28,1,1,15,3,2,3,3,0,3,0,2,0,2,1,1,1,17070
4416,54,1,3,7,3,0,3,4,1,5,3,2,0,1,1,2,2,27059
3760,44,0,3,9,2,2,4,4,1,3,1,3,0,3,1,3,2,24353
2951,30,1,3,10,3,1,4,4,1,3,0,3,0,2,0,1,2,24239
1770,41,1,3,8,2,2,2,3,4,4,2,2,0,3,1,1,0,31015
2306,29,1,3,29,2,1,2,4,3,5,1,2,0,3,1,1,3,22336
2743,52,1,1,9,3,2,3,6,1,4,1,7,0,2,0,1,2,24160
3016,30,1,1,34,3,1,4,4,1,3,0,6,0,2,1,1,2,23013
4843,29,0,3,20,1,1,3,4,1,4,3,7,0,3,1,1,2,22545
790,33,1,1,11,2,2,2,4,3,3,1,5,0,3,0,0,3,22119
3808,29,0,3,7,2,2,3,5,1,3,1,3,1,1,0,1,2,25512
4327,43,0,1,35,1,1,3,5,1,3,1,2,0,3,0,2,2,23201
3529,32,0,1,10,2,1,3,4,0,3,3,3,0,4,1,2,1,22762
1311,18,0,1,20,3,1,2,3,0,3,2,2,0,5,1,0,1,16514
3519,33,1,1,17,3,2,2,4,3,3,2,4,0,1,0,1,3,29922
1466,39,1,1,12,3,2,2,4,3,5,1,5,0,4,1,0,3,24991
1086,50,0,1,28,3,2,2,5,4,3,2,2,1,1,1,1,0,29411
1760,49,0,1,16,2,1,2,3,2,5,2,1,1,3,0,1,4,33665
3037,37,1,1,7,2,1,3,4,1,4,0,2,0,5,0,1,2,23906
743,59,1,1,8,2,1,3,4,4,3,2,4,1,5,0,2,0,28726
4030,35,1,1,12,3,1,3,5,3,5,2,4,0,1,1,2,3,30309
4378,38,1,1,7,1,0,3,4,3,3,3,6,0,5,1,1,3,26169
3415,52,1,1,18,1,1,3,5,4,4,2,5,0,1,0,2,0,31820
3866,36,1,1,18,3,2,3,4,0,3,1,2,1,5,0,1,1,21338
2703,32,0,1,36,3,2,4,5,0,4,3,2,0,3,1,3,1,22157
4357,23,0,1,11,1,2,4,5,0,3,3,7,0,5,0,1,1,22572
1759,28,1,1,14,2,1,3,3,0,3,2,2,0,4,1,1,1,18310
1715,31,0,1,9,3,2,3,3,3,3,1,1,0,4,1,0,3,28675
2101,44,1,1,14,2,2,3,1,0,3,1,3,1,3,1,0,1,17818
1774,39,1,1,6,3,2,2,1,3,3,1,1,0,3,1,0,3,24613
1200,44,1,2,6,2,1,2,3,0,3,1,5,1,3,1,0,1,18195
4083,33,1,1,13,2,2,3,4,0,3,3,5,0,1,0,2,1,21716
2283,39,0,1,8,2,2,2,3,4,3,1,1,0,3,1,0,0,27169
3327,34,1,1,16,3,2,3,4,0,3,0,2,0,2,1,1,1,21459
2736,32,0,3,12,3,1,3,4,0,4,1,3,0,3,0,2,1,21467
3707,43,1,1,19,3,2,3,4,0,4,1,2,0,1,1,2,1,21444
4373,42,0,1,9,2,0,4,5,1,3,3,4,1,1,0,1,2,25489
4413,34,1,3,15,3,2,3,4,1,3,1,2,0,1,0,1,2,25782
3307,34,1,2,9,2,2,3,4,0,3,0,3,0,2,0,1,1,22278
4521,50,1,3,18,3,1,3,4,3,3,1,3,0,4,0,1,3,26332
235,43,1,3,22,3,1,3,3,4,3,0,6,1,3,0,1,0,31064
58,31,1,1,13,2,2,2,3,1,3,1,4,0,3,1,0,2,20915
855,37,1,1,6,2,1,2,4,1,3,0,2,0,2,1,1,2,21474
1748,26,0,1,6,2,1,2,3,1,4,1,2,0,5,1,1,2,21397
3021,38,1,1,17,2,1,3,4,0,5,1,2,1,3,1,2,1,21460
2804,58,1,1,7,3,2,3,4,1,3,0,4,0,3,1,2,2,25433
